Valores iniciais calculados:
Temperatura Inicial Média: 22.2 °C
Humidade Inicial Média: 57.0 %
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:10    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:11    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:12    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:13    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:14    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:15    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:16    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:17    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:18    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:19    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:20    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:21    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:22    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:23    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:24    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:25    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:26    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:27    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:28    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:30    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 57.0 %   | OFF     | 0:31    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 58.0 %   | OFF     | 0:32    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 58.0 %   | OFF     | 0:33    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 59.0 %   | OFF     | 0:34    |
| 22.2 °C             | 57.0 %           | 22.2 °C     | OFF      | 59.0 %   | OFF     | 0:35    |
| 22.2 °C             | 57.0 %           | 22.5 °C     | OFF      | 62.0 %   | ON      | 0:36    |
| 22.2 °C             | 57.0 %           | 22.5 °C     | OFF      | 62.0 %   | ON      | 0:37    |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 63.0 %   | ON      | 0:38    |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 63.0 %   | ON      | 0:39    |
| 22.2 °C             | 57.0 %           | 22.7 °C     | OFF      | 63.0 %   | ON      | 0:40    |
| 22.2 °C             | 57.0 %           | 22.7 °C     | OFF      | 63.0 %   | ON      | 0:41    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 64.0 %   | ON      | 0:42    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 64.0 %   | ON      | 0:43    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 64.0 %   | ON      | 0:44    |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 64.0 %   | ON      | 0:45    |
